index_num,ra,dec,conf
13495,143.9143365,43.43051397,0.679857
13519,155.5181036,48.15140723,0.722063
13566,193.6403551,52.11617178,0.667044
13580,161.1904289,50.33297702,0.715134
13582,167.5355469,51.48716123,0.762391
13596,194.4112921,52.43257306,0.773241
13599,204.4253628,51.23232411,0.774821
13612,178.7132433,53.01541017,0.766851
13634,188.3954839,53.50417254,0.73029
13640,210.0420749,50.86084929,0.730556
13666,121.5197375,26.3166515,0.695798
13767,114.4177713,22.44112663,0.8128
13788,157.6549252,47.22912653,0.720755
13800,149.3699246,45.21497959,0.809777
13838,139.3762525,39.68074885,0.729606
13892,128.1115138,32.39244954,0.714079
13895,129.6313731,33.44229224,0.780843
13913,136.1276736,38.52555292,0.77971
13916,129.9005395,35.27113515,0.654569
13932,156.4362119,45.39013771,0.722457
13958,199.5059562,48.12199286,0.80938
13982,148.2492949,43.00001611,0.700214
13997,166.9308206,47.94298527,0.744372
14006,173.8186885,48.94909168,0.778054
14037,143.1277783,41.47677234,0.689053
14061,197.3402706,49.26645107,0.767718
14081,136.0520603,38.46825441,0.688685
14086,142.1386318,41.39165789,0.71175
14095,158.2427934,47.06730862,0.724417
14168,180.251269,50.71556337,0.671267
14173,182.5496219,50.77051042,0.751339
14180,185.2514678,50.64267057,0.810889
14240,217.7498644,46.37980021,0.687725
14275,156.0137363,5.88009202,0.715631
14332,149.1261778,6.19461549,0.727005
14337,157.6609732,6.70492276,0.678459
14345,167.3418212,7.34096248,0.670458
14371,157.715467,7.11445792,0.716534
14402,167.9294448,8.22286931,0.674764
14403,168.4596204,8.21651305,0.693399
14466,207.5219872,57.80943354,0.739557
14533,167.3157677,6.58734713,0.673749
14537,175.7725199,6.92092042,0.776169
14574,167.1248069,7.0873765,0.725017
14579,170.6825408,7.15347895,0.769375
