index_num,ra,dec,conf,objID,distance,type,ra_crossmatched,dec_crossmatched
181,4.93679,0.3860841,0.754155,1.24E+18,0.022940943,3,4.936434976,0.386224906
182,5.629662,0.35267,0.698468,1.24E+18,0.013450341,3,5.629437937,0.352664121
183,6.06107,0.327054,0.696306,1.24E+18,0.064558172,3,6.060035225,0.326758909
184,8.008626,0.3292187,0.655869,1.24E+18,0.03798876,3,8.008009236,0.329075509
185,9.370748,0.2781385,0.654643,1.24E+18,0.049748623,3,9.370208609,0.27750843
186,9.94146,0.2446156,0.720317,1.24E+18,0.02860547,3,9.941322646,0.244158937
187,10.66186,0.2871995,0.725159,1.24E+18,0.012828127,3,10.6616616,0.287282688
188,12.01097,0.3342071,0.693413,1.24E+18,0.015751737,3,12.01076582,0.334042205
189,13.06059,0.3172871,0.701949,1.24E+18,0.029557793,3,13.06012537,0.317128304
190,13.34244,0.3266389,0.686775,1.24E+18,0.012395276,3,13.3422355,0.326624097
191,16.67115,0.2924042,0.661496,1.24E+18,0.027196163,3,16.67069869,0.292364366
192,17.26435,0.224307,0.680378,1.24E+18,0.012235249,3,17.26416204,0.224221245
193,18.52431,0.3829954,0.750426,1.24E+18,0.023201677,3,18.52393334,0.383094014
194,20.16643,0.3322783,0.712727,1.24E+18,0.013877612,3,20.16620039,0.332289276
195,20.61872,0.3223785,0.689013,1.24E+18,0.049065947,3,20.61791495,0.32250477
196,20.70206,0.4100425,0.707791,1.24E+18,0.010376668,3,20.7019277,0.410150707
197,21.04122,0.3200741,0.686542,1.24E+18,0.00673648,3,21.04112866,0.320139743
198,21.22806,0.4116979,0.807585,1.24E+18,0.033639028,3,21.22758982,0.411389252
199,22.19094,0.3058284,0.747351,1.24E+18,0.027769892,3,22.19049309,0.305718748
200,22.99032,0.278969,0.677873,1.24E+18,0.019459247,3,22.98999256,0.278986972
201,24.64611,0.3351117,0.748497,1.24E+18,0.025682109,3,24.64584746,0.334774087
202,25.39068,0.2392986,0.670028,1.24E+18,0.019536145,3,25.39036914,0.239202759
203,26.22679,0.2816102,0.686372,1.24E+18,0.019556899,3,26.22649783,0.281468542
204,28.89136,0.2810161,0.75549,1.24E+18,0.022702636,3,28.89099062,0.280931048
205,30.56836,0.3753185,0.670574,1.24E+18,0.021033574,3,30.56805009,0.375153477
206,32.15606,0.4272136,0.697361,1.24E+18,0.019706394,3,32.15603041,0.42688644
207,35.78554,0.3710294,0.654188,1.24E+18,0.024153191,3,35.78517688,0.37085888
208,38.14959,0.2235371,0.6515,1.24E+18,0.030883258,3,38.14910369,0.223356633
209,38.1079,0.289647,0.722887,1.24E+18,0.02690637,3,38.10765723,0.290024824
210,40.07911,0.4388013,0.746329,1.24E+18,0.053900589,3,40.07891867,0.439678391
211,41.43586,0.2330128,0.72082,1.24E+18,0.022796231,3,41.43559794,0.233284493
212,41.51448,0.2240776,0.757226,1.24E+18,0.039167891,3,41.51403185,0.224548078
213,41.79984,0.3014802,0.670721,1.24E+18,0.033228564,3,41.79946472,0.301075585
214,42.38601,0.2439088,0.670958,1.24E+18,0.00447049,3,42.3859487,0.243860474
215,42.70351,0.2706037,0.676626,1.24E+18,0.004216323,3,42.70345258,0.27055858
216,45.14746,0.2975176,0.666598,1.24E+18,0.015218666,3,45.14721164,0.297501033
217,47.33963,0.3564313,0.761752,1.24E+18,0.051979719,3,47.34047484,0.356256492
219,47.94622,0.298541,0.657015,1.24E+18,0.021633197,3,47.94590789,0.298361138
220,48.25294,0.4176416,0.750433,1.24E+18,0.018267154,3,48.25265588,0.41752547
221,49.36985,0.3138181,0.656907,1.24E+18,0.01951231,3,49.36956807,0.31365627
222,52.01318,0.3484432,0.691224,1.24E+18,0.021852137,3,52.01281609,0.348462634
223,51.95578,0.2190914,0.719329,1.24E+18,0.023767161,3,51.95540649,0.219211838
224,338.795,0.8465115,0.659766,1.24E+18,0.031610297,3,338.7948833,0.846009796
225,340.5105,0.7431538,0.661424,1.24E+18,0.030758574,3,340.5100886,0.742890543
227,341.5127,0.7585509,0.711093,1.24E+18,0.01371155,3,341.5125042,0.758606479
228,349.4053,0.8348041,0.732446,1.24E+18,0.022950493,3,349.4048999,0.834721603
229,353.2477,0.7227456,0.811221,1.24E+18,0.06124845,3,353.2471936,0.721884377
230,356.2728,0.8271807,0.772437,1.24E+18,0.025129331,3,356.272525,0.826890574
231,357.2231,0.6424482,0.717632,1.24E+18,0.014169121,3,357.2230504,0.642212049
232,5.438257,0.7808196,0.662014,1.24E+18,0.008459991,3,5.438222607,0.780682908
233,10.0948,0.8234938,0.730663,1.24E+18,0.023868447,3,10.09444578,0.823312699
234,10.15287,0.6663776,0.670222,1.24E+18,0.012325503,3,10.15305774,0.666459262
235,12.715,0.8512009,0.849031,1.24E+18,0.011028562,3,12.71487801,0.85133992
236,14.35792,0.7349839,0.695799,1.24E+18,0.016789695,3,14.35787742,0.734706882
237,14.60645,0.7722766,0.728901,1.24E+18,0.008356405,3,14.60636938,0.772390099
238,16.65856,0.6980014,0.762271,1.24E+18,0.021171712,3,16.6582301,0.697870696
239,16.81383,0.7735816,0.77025,1.24E+18,0.019295766,3,16.81354212,0.773433285
240,16.87366,0.7056913,0.651458,1.24E+18,0.019847465,3,16.87332886,0.705731437
241,20.36554,0.7105051,0.812876,1.24E+18,0.007181648,3,20.36542945,0.710453852
242,24.82575,0.7495205,0.755604,1.24E+18,0.029583759,3,24.82526107,0.749523377
243,31.1971,0.8349633,0.759247,1.24E+18,0.032223673,3,31.19657542,0.835061396
246,35.19463,0.6953923,0.679337,1.24E+18,0.025669695,3,35.19431677,0.695096412
247,35.93901,0.731983,0.689816,1.24E+18,0.01702246,3,35.93874465,0.731895141
248,42.40587,0.7335806,0.78275,1.24E+18,0.046993386,3,42.40544392,0.732924967
249,43.58012,0.8401891,0.756573,1.24E+18,0.032425155,3,43.57958567,0.840108422
250,44.52774,0.802643,0.722921,1.24E+18,0.031419928,3,44.52735926,0.802288035
251,45.62954,0.6674734,0.771265,1.24E+18,0.045418783,3,45.63009107,0.666950869
252,49.40677,0.8156074,0.701259,1.24E+18,0.030003115,3,49.4064204,0.815252427
253,52.03846,0.8338478,0.755729,1.24E+18,0.008711693,3,52.03831457,0.833847528
254,54.81173,0.7238894,0.715946,1.24E+18,0.033772421,3,54.81183071,0.723335039
255,55.93473,0.7233157,0.784695,1.24E+18,0.014806799,3,55.93456693,0.723130887
256,337.1687,1.146672,0.696124,1.24E+18,0.024213428,3,337.1682935,1.14681601
257,338.0092,1.174046,0.688505,1.24E+18,0.03637557,3,338.00861,1.174054846
258,338.8676,1.235211,0.748173,1.24E+18,0.040528719,3,338.8668842,1.235120582
259,342.0094,1.192988,0.695797,1.24E+18,0.01818996,3,342.0090699,1.192937506
260,344.3389,1.197195,0.736348,1.24E+18,0.026404606,3,344.3384881,1.19703415
261,345.103,1.116174,0.69842,1.24E+18,0.031321483,3,345.1024491,1.116244926
262,347.1318,1.086925,0.759319,1.24E+18,0.013582326,3,347.1317375,1.087147934
263,349.9666,1.218284,0.71026,1.24E+18,0.013214493,3,349.9666671,1.218080212
264,350.1447,1.2733,0.652962,1.24E+18,0.026425099,3,350.1444545,1.27294476
265,350.2262,1.237098,0.701405,1.24E+18,0.010580002,3,350.2261429,1.236929918
266,356.2795,1.189943,0.678484,1.24E+18,0.021280042,3,356.2791365,1.189854839
267,359.5313,1.084175,0.651751,1.24E+18,0.026194684,3,359.5309335,1.083910139
269,4.441082,1.181634,0.774881,1.24E+18,0.031768829,3,4.440787053,1.181194424
270,5.885765,1.233922,0.734525,1.24E+18,0.03013256,3,5.88529704,1.233738655
271,7.516043,1.275354,0.76139,1.24E+18,0.025469414,3,7.516029964,1.274929729
272,8.307775,1.08451,0.70269,1.24E+18,0.016127242,3,8.307640479,1.084277108
273,10.13118,1.168424,0.774397,1.24E+18,0.026189967,3,10.13075932,1.168548078
274,10.60225,1.267122,0.661237,1.24E+18,0.034444226,3,10.60178411,1.26678266
275,11.96796,1.196098,0.68208,1.24E+18,0.016886008,3,11.96779027,1.195874928
276,12.42522,1.121966,0.69643,1.24E+18,0.019608177,3,12.42490456,1.121882067
277,13.11798,1.252322,0.675924,1.24E+18,0.022658656,3,13.11771894,1.252048473
